2024-09-05T02:25:04.856Z P:6856 T:120] SyncServiceImpl::Initialize,SyncState after authenticated was: NotSignedIn
2024-09-05T02:25:05.790Z P:6856 T:120] SyncServiceImpl::TryStartImpl,Try to start sync engine
2024-09-05T02:25:05.793Z P:6856 T:2376] SyncManagerImpl::ConfigureSyncer,Types to download: Encryption Keys
2024-09-05T02:25:06.313Z P:6856 T:120] SyncAuthManager::SetLastAuthError,Current auth error: None
2024-09-05T02:25:06.313Z P:6856 T:120] SyncAuthManager::EdgeLogTokenErrorState,Token error with: None for account type: MSA
2024-09-05T02:25:06.313Z P:6856 T:120] SyncServiceImpl::CredentialsChanged,Credentials changed for: EdgeSyncScopeNew
2024-09-05T02:25:09.502Z P:6856 T:120] SyncAuthManager::SetLastAuthError,Current auth error: None
2024-09-05T02:25:09.502Z P:6856 T:120] SyncAuthManager::EdgeLogTokenErrorState,Token error with: None for account type: MSA
2024-09-05T02:25:09.502Z P:6856 T:120] SyncServiceImpl::CredentialsChangedForKeyData,Credentials changed for: EdgeSyncKeyDataScope
2024-09-05T02:25:09.982Z P:6856 T:120] SyncServiceImpl::OnEngineInitialized,Initialize engine with: Success
2024-09-05T02:26:11.064Z P:6856 T:120] ModelLoadManager::Configure,Desired types without errors: Device Info, User Consents, Send Tab To Self, Encryption Keys and types with errors: 
2024-09-05T02:26:11.065Z P:6856 T:120] ModelLoadManager::LoadDesiredTypes,Loading type: Device Info
2024-09-05T02:26:11.065Z P:6856 T:120] ModelLoadManager::LoadDesiredTypes,Loading type: User Consents
2024-09-05T02:26:11.065Z P:6856 T:120] ModelLoadManager::LoadDesiredTypes,Loading type: Send Tab To Self
2024-09-05T02:26:11.076Z P:6856 T:120] ModelLoadManager::ModelLoadCallback,Load Device Info: success
2024-09-05T02:26:11.076Z P:6856 T:120] ModelLoadManager::ModelLoadCallback,Load User Consents: success
2024-09-05T02:26:11.076Z P:6856 T:120] ModelLoadManager::ModelLoadCallback,Load Send Tab To Self: success
2024-09-05T02:26:11.076Z P:6856 T:120] DataTypeManagerImpl::OnAllDataTypesReadyForConfigure,Start to configure data types
